month,label,days_reported,impressions,average_daily_impressions,coverage,estimated_dates
2024-11,Nov 2024,30,8470,282.33,full month,0
2024-12,Dec 2024,31,11203,361.39,full month,0
2025-01,Jan 2025,31,12216,394.06,full month,0
2025-02,Feb 2025,28,11816,422.00,full month,0
2025-03,Mar 2025,31,10043,323.97,full month,0
2025-04,Apr 2025,30,9079,302.63,full month,0
2025-05,May 2025,31,10039,323.84,full month,0
2025-06,Jun 2025,30,7256,241.87,full month,0
2025-07,Jul 2025,31,6617,213.45,full month,0
2025-08,Aug 2025,31,7099,229.00,full month,0
2025-09,Sep 2025,15,4099,273.27,partial through Sep. 15,2
